mu,period,stability
3.4,2,S
3.4005,2,S
3.401,2,S
3.4015,2,S
3.402,2,S
3.4025,2,S
3.403,2,S
3.4035,2,S
3.404,2,S
3.4045,2,S
3.405,2,S
3.4055,2,S
3.406,2,S
3.4065,2,S
3.407,2,S
3.4075,2,S
3.408,2,S
3.4085,2,S
3.4095,2,S
3.41,2,S
3.4105,2,S
3.411,2,S
3.4115,2,S
3.4125,2,S
3.413,2,S
3.4135,2,S
3.414,2,S
3.4145,2,S
3.415,2,S
3.4155,2,S
3.416,2,S
3.4165,2,S
3.417,2,S
3.4175,2,S
3.418,2,S
3.4185,2,S
3.419,2,S
3.4195,2,S
3.42,2,S
3.4205,2,S
3.421,2,S
3.4215,2,S
3.4225,2,S
3.423,2,S
3.4235,2,S
3.424,2,S
3.4245,2,S
3.425,2,S
3.4255,2,S
3.426,2,S
3.4265,2,S
3.427,2,S
3.4275,2,S
3.428,2,S
3.4285,2,S
3.429,2,S
3.4295,2,S
3.43,2,S
3.4305,2,S
3.431,2,S
3.4315,2,S
3.432,2,S
3.4325,2,S
3.433,2,S
3.4335,2,S
3.434,2,S
3.4345,2,S
3.435,2,S
3.4355,2,S
3.436,2,S
3.4365,2,S
3.437,2,S
3.4375,2,S
3.438,2,S
3.4385,2,S
3.439,2,S
3.4395,2,S
3.44,2,S
3.4405,2,S
3.441,2,S
3.4415,2,S
3.442,2,S
3.4425,2,S
3.443,2,S
3.4435,2,S
3.444,2,S
3.445,2,S
3.4455,2,S
3.446,2,S
3.4465,2,S
3.447,2,S
3.4475,2,S
3.448,2,S
3.4485,2,S
3.449,2,S
3.4495,2,U
3.4495,4,S
3.45,2,U
3.45,4,S
3.4505,2,U
3.4505,4,S
3.451,2,U
3.451,4,S
3.4515,2,U
3.4515,4,S
3.452,2,U
3.452,4,S
3.4525,4,S
3.4525,2,U
3.453,2,U
3.453,4,S
3.4535,2,U
3.4535,4,S
3.454,2,U
3.454,4,S
3.4545,2,U
3.4545,4,S
3.455,2,U
3.455,4,S
3.4555,2,U
3.4555,4,S
3.456,4,S
3.456,2,U
3.4565,4,S
3.4565,2,U
3.457,2,U
3.457,4,S
3.4575,2,U
3.4575,4,S
3.458,2,U
3.458,4,S
3.4585,2,U
3.4585,4,S
3.459,2,U
3.459,4,S
3.4595,2,U
3.4595,4,S
3.46,2,U
3.46,4,S
3.4605,4,S
3.4605,2,U
3.461,2,U
3.461,4,S
3.4615,4,S
3.462,2,U
3.462,4,S
3.4625,2,U
3.4625,4,S
3.463,2,U
3.463,4,S
3.4635,2,U
3.4635,4,S
3.464,2,U
3.464,4,S
3.4645,4,S
3.4645,2,U
3.465,2,U
3.465,4,S
3.4655,2,U
3.4655,4,S
3.466,2,U
3.466,4,S
3.4665,2,U
3.4665,4,S
3.467,2,U
3.467,4,S
3.4675,2,U
3.4675,4,S
3.468,4,S
3.468,2,U
3.4685,4,S
3.4685,2,U
3.469,2,U
3.469,4,S
3.4695,2,U
3.4695,4,S
3.47,2,U
3.47,4,S
3.4705,2,U
3.4705,4,S
3.471,2,U
3.471,4,S
3.4715,2,U
3.4715,4,S
3.472,4,S
3.472,2,U
3.4725,4,S
3.4725,2,U
3.473,2,U
3.473,4,S
3.4735,2,U
3.4735,4,S
3.474,2,U
3.474,4,S
3.4745,2,U
3.4745,4,S
3.475,2,U
3.475,4,S
3.4755,2,U
3.4755,4,S
3.476,4,S
3.476,2,U
3.4765,2,U
3.4765,4,S
3.477,2,U
3.477,4,S
3.4775,2,U
3.4775,4,S
3.478,2,U
3.478,4,S
3.4785,2,U
3.4785,4,S
3.479,2,U
3.479,4,S
3.4795,2,U
3.4795,4,S
3.48,4,S
3.48,2,U
3.4805,2,U
3.4805,4,S
3.481,2,U
3.481,4,S
3.4815,2,U
3.4815,4,S
3.482,2,U
3.482,4,S
3.4825,2,U
3.4825,4,S
3.483,2,U
3.483,4,S
3.4835,4,S
3.4835,2,U
3.484,4,S
3.484,2,U
3.4845,2,U
3.4845,4,S
3.485,2,U
3.485,4,S
3.4855,2,U
3.4855,4,S
3.486,2,U
3.486,4,S
3.4865,2,U
3.4865,4,S
3.487,2,U
3.487,4,S
3.4875,2,U
3.4875,4,S
3.488,4,S
3.488,2,U
3.4885,2,U
3.4885,4,S
3.489,2,U
3.489,4,S
3.4895,2,U
3.4895,4,S
3.49,2,U
3.49,4,S
3.4905,2,U
3.4905,4,S
3.491,2,U
3.491,4,S
3.4915,4,S
3.4915,2,U
3.492,2,U
3.492,4,S
3.4925,2,U
3.4925,4,S
3.493,2,U
3.493,4,S
3.4935,2,U
3.4935,4,S
3.494,2,U
3.494,4,S
3.4945,2,U
3.4945,4,S
3.495,2,U
3.495,4,S
3.4955,4,S
3.4955,2,U
3.496,2,U
3.496,4,S
3.4965,2,U
3.4965,4,S
3.497,2,U
3.497,4,S
3.4975,2,U
3.4975,4,S
3.498,2,U
3.498,4,S
3.4985,2,U
3.4985,4,S
3.499,4,S
3.499,2,U
3.4995,4,S
3.4995,2,U
3.5,2,U
3.5,4,S
3.5005,2,U
3.5005,4,S
3.501,2,U
3.501,4,S
3.5015,2,U
3.5015,4,S
3.502,2,U
3.502,4,S
3.5025,2,U
3.5025,4,S
3.503,2,U
3.503,4,S
3.5035,4,S
3.5035,2,U
3.504,2,U
3.504,4,S
3.5045,2,U
3.5045,4,S
3.505,2,U
3.505,4,S
3.5055,2,U
3.5055,4,S
3.506,2,U
3.5065,2,U
3.5065,4,S
3.507,2,U
3.507,4,S
3.5075,4,S
3.5075,2,U
3.508,2,U
3.508,4,S
3.5085,2,U
3.5085,4,S
3.509,2,U
3.509,4,S
3.5095,2,U
3.5095,4,S
3.51,2,U
3.51,4,S
3.5105,2,U
3.5105,4,S
3.511,2,U
3.511,4,S
3.5115,4,S
3.5115,2,U
3.512,2,U
3.512,4,S
3.5125,2,U
3.5125,4,S
3.513,2,U
3.513,4,S
3.5135,2,U
3.5135,4,S
3.514,2,U
3.514,4,S
3.5145,2,U
3.5145,4,S
3.515,4,S
3.515,2,U
3.5155,2,U
3.5155,4,S
3.516,2,U
3.516,4,S
3.5165,2,U
3.5165,4,S
3.517,2,U
3.517,4,S
3.5175,2,U
3.5175,4,S
3.518,2,U
3.518,4,S
3.5185,2,U
3.5185,4,S
3.519,4,S
3.519,2,U
3.5195,4,S
3.52,4,S
3.52,2,U
3.5205,2,U
3.5205,4,S
3.521,2,U
3.521,4,S
3.5215,2,U
3.5215,4,S
3.522,2,U
3.522,4,S
3.5225,2,U
3.5225,4,S
3.523,2,U
3.523,4,S
3.5235,2,U
3.5235,4,S
3.524,4,S
3.5245,2,U
3.5245,4,S
3.525,2,U
3.525,4,S
3.5255,2,U
3.5255,4,S
3.526,2,U
3.526,4,S
3.5265,2,U
3.5265,4,S
3.527,2,U
3.527,4,S
3.5275,2,U
3.5275,4,S
3.528,4,S
3.528,2,U
3.5285,2,U
3.5285,4,S
3.529,2,U
3.529,4,S
3.5295,2,U
3.5295,4,S
3.53,2,U
3.53,4,S
3.5305,2,U
3.5305,4,S
3.531,2,U
3.531,4,S
3.5315,4,S
3.5315,2,U
3.532,2,U
3.532,4,S
3.5325,2,U
3.5325,4,S
3.533,2,U
3.533,4,S
3.5335,2,U
3.5335,4,S
3.534,2,U
3.534,4,S
3.5345,2,U
3.5345,4,S
3.535,2,U
3.535,4,S
3.5355,4,S
3.5355,2,U
3.536,2,U
3.536,4,S
3.5365,2,U
3.5365,4,S
3.537,2,U
3.537,4,S
3.5375,2,U
3.5375,4,S
3.538,2,U
3.538,4,S
3.5385,2,U
3.5385,4,S
3.539,2,U
3.539,4,S
3.5395,4,S
3.5395,2,U
3.54,2,U
3.54,4,S
3.5405,2,U
3.5405,4,S
3.541,2,U
3.541,4,S
3.5415,2,U
3.5415,4,S
3.542,4,S
3.5425,2,U
3.5425,4,S
3.543,4,S
3.543,2,U
3.5435,4,S
3.5435,2,U
3.544,2,U
3.544,4,S
3.5445,2,U
3.5445,4,U
3.5445,8,S
3.545,2,U
3.545,4,U
3.545,8,S
3.5455,2,U
3.5455,4,U
3.5455,8,S
3.546,8,S
3.546,4,U
3.546,2,U
3.5465,2,U
3.5465,4,U
3.5465,8,S
3.547,2,U
3.547,4,U
3.547,8,S
3.5475,2,U
3.5475,8,S
3.548,2,U
3.548,4,U
3.548,8,S
3.5485,4,U
3.5485,8,S
3.5485,2,U
3.549,4,U
3.549,8,S
3.549,2,U
3.5495,4,U
3.5495,8,S
3.5495,2,U
3.55,2,U
3.55,4,U
3.55,8,S
3.5505,2,U
3.5505,4,U
3.5505,8,S
3.551,2,U
3.551,4,U
3.551,8,S
3.5515,2,U
3.5515,4,U
3.552,8,S
3.552,2,U
3.552,4,U
3.5525,2,U
3.5525,4,U
3.5525,8,S
3.553,2,U
3.553,4,U
3.553,8,S
3.5535,8,S
3.5535,2,U
3.5535,4,U
3.554,8,S
3.554,2,U
3.554,4,U
3.5545,2,U
3.5545,4,U
3.5545,8,S
3.555,2,U
3.555,4,U
3.555,8,S
3.5555,2,U
3.5555,4,U
3.5555,8,S
3.556,8,S
3.556,2,U
3.556,4,U
3.5565,2,U
3.5565,4,U
3.5565,8,S
3.557,2,U
3.557,4,U
3.557,8,S
3.5575,2,U
3.5575,4,U
3.5575,8,S
3.558,8,S
3.558,4,U
3.558,2,U
3.5585,8,S
3.5585,2,U
3.5585,4,U
3.559,2,U
3.559,4,U
3.5595,2,U
3.5595,4,U
3.5595,8,S
3.56,2,U
3.56,4,U
3.56,8,S
3.5605,2,U
3.5605,8,S
3.561,4,U
3.561,8,S
3.561,2,U
3.5615,2,U
3.5615,4,U
3.5615,8,S
3.562,2,U
3.562,4,U
3.562,8,S
3.5625,8,S
3.5625,4,U
3.5625,2,U
3.563,2,U
3.563,4,U
3.563,8,S
3.5635,2,U
3.5635,4,U
3.5635,8,S
3.564,2,U
3.564,4,U
3.564,8,S
3.5645,8,U
3.5645,4,U
3.5645,2,U
3.565,2,U
3.565,4,U
3.565,8,U
3.5655,4,U
3.5655,8,U
3.566,2,U
3.566,4,U
3.566,8,U
3.5665,8,U
3.5665,16,S
3.5665,4,U
3.5665,2,U
3.567,4,U
3.567,8,U
3.5675,4,U
3.5675,2,U
3.5675,8,U
3.568,2,U
3.568,4,U
3.568,8,U
3.5685,4,U
3.5685,2,U
3.5685,8,U
3.569,4,U
3.569,8,U
3.569,2,U
3.5695,2,U
3.5695,4,U
3.5695,8,U
3.57,4,U
3.57,8,U
3.57,16,U
3.57,2,U
3.5705,2,U
3.5705,4,U
3.5705,8,U
3.571,4,U
3.571,2,U
3.571,8,U
3.5715,4,U
3.5715,2,U
3.5715,8,U
3.572,8,U
3.572,2,U
3.572,4,U
3.5725,2,U
3.5725,4,U
3.5725,8,U
3.573,4,U
3.573,8,U
3.573,2,U
3.5735,2,U
3.5735,4,U
3.5735,8,U
3.574,4,U
3.574,2,U
3.574,8,U
3.5745,2,U
3.5745,4,U
3.5745,8,U
3.575,8,U
3.575,2,U
3.575,4,U
3.5755,2,U
3.5755,4,U
3.5755,8,U
3.576,2,U
3.576,4,U
3.576,8,U
3.5765,2,U
3.5765,4,U
3.5765,8,U
3.577,2,U
3.577,4,U
3.577,8,U
3.5775,8,U
3.5775,4,U
3.5775,2,U
3.578,4,U
3.578,8,U
3.578,2,U
3.5785,2,U
3.5785,4,U
3.5785,8,U
3.579,2,U
3.579,4,U
3.579,8,U
3.5795,2,U
3.5795,4,U
3.5795,8,U
3.58,8,U
3.58,2,U
3.58,4,U
3.5805,2,U
3.5805,4,U
3.5805,8,U
3.581,8,U
3.581,2,U
3.581,4,U
3.5815,2,U
3.5815,4,U
3.5815,8,U
3.582,2,U
3.582,4,U
3.582,8,U
3.5825,2,U
3.5825,4,U
3.5825,8,U
3.583,2,U
3.583,4,U
3.583,8,U
3.5835,2,U
3.5835,4,U
3.5835,8,U
3.584,4,U
3.584,2,U
3.584,8,U
3.5845,4,U
3.5845,8,U
